Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
1013,2057734,"lecture.js",366,0,"n",javascript,content
1014,2058214,"lecture.js",367,0,"s",javascript,content
1015,2058303,"lecture.js",368,0,"o",javascript,content
1016,2058483,"lecture.js",369,0,"l",javascript,content
1017,2058620,"lecture.js",370,0,"e",javascript,content
1018,2059187,"lecture.js",364,7,"console",javascript,content
1018,2059187,"lecture.js",364,7,"console",javascript,content
1019,2059188,"lecture.js",371,0,".",javascript,content
1020,2059405,"lecture.js",372,0,"l",javascript,content
1021,2059537,"lecture.js",373,0,"o",javascript,content
1022,2059772,"lecture.js",374,0,"g",javascript,content
1023,2060910,"lecture.js",371,4,".log",javascript,content
1023,2060910,"lecture.js",371,4,".log",javascript,content
1024,2060911,"lecture.js",375,0,"()",javascript,content
1025,2060989,"lecture.js",376,1,")",javascript,content
1026,2061939,"lecture.js",376,0,"''",javascript,content
1027,2062085,"lecture.js",377,1,"'",javascript,content
1028,2064766,"lecture.js",377,0,"R",javascript,content
1029,2064999,"lecture.js",378,0,"e",javascript,content
1030,2065102,"lecture.js",379,0,"m",javascript,content
1031,2065259,"lecture.js",380,0,"e",javascript,content
1032,2065346,"lecture.js",381,0,"m",javascript,content
1033,2065614,"lecture.js",382,0,"b",javascript,content
1034,2065750,"lecture.js",383,0,"e",javascript,content
1035,2065930,"lecture.js",384,0,"r",javascript,content
1036,2066063,"lecture.js",385,0," ",javascript,content
1037,2066227,"lecture.js",386,0,"t",javascript,content
1038,2066298,"lecture.js",387,0,"o",javascript,content
1039,2066422,"lecture.js",388,0," ",javascript,content
1040,2066938,"lecture.js",389,0,"C",javascript,content
1041,2067058,"lecture.js",390,0,"o",javascript,content
1042,2067177,"lecture.js",391,0,"n",javascript,content
1043,2067290,"lecture.js",392,0,"t",javascript,content
1044,2068209,"lecture.js",392,1,"",javascript,content
1045,2068554,"lecture.js",392,0,"c",javascript,content
1046,2068882,"lecture.js",393,0,"a",javascript,content
1047,2069203,"lecture.js",394,0,"t",javascript,content
1048,2069328,"lecture.js",395,0,"o",javascript,content
1049,2069496,"lecture.js",396,0,"n",javascript,content
1050,2069602,"lecture.js",397,0,"a",javascript,content
1051,2069848,"lecture.js",398,0,"t",javascript,content
1052,2070050,"lecture.js",399,0,"e",javascript,content
1053,2074817,"lecture.js",400,0," ",javascript,content
1054,2075032,"lecture.js",401,0,"i",javascript,content
1055,2075140,"lecture.js",402,0,"f",javascript,content
1056,2075223,"lecture.js",403,0," ",javascript,content
1057,2075401,"lecture.js",404,0,"p",javascript,content
1058,2075556,"lecture.js",405,0,"o",javascript,content
1059,2075729,"lecture.js",406,0,"s",javascript,content
1060,2075874,"lecture.js",407,0,"s",javascript,content
1061,2076133,"lecture.js",408,0,"i",javascript,content
1062,2077003,"lecture.js",409,0,"b",javascript,content
1063,2077200,"lecture.js",410,0,"l",javascript,content
1064,2077326,"lecture.js",411,0,"e",javascript,content
1065,2079664,"lecture.js",364,0,"/",javascript,content
1066,2079799,"lecture.js",365,0,"/",javascript,content
1067,2120126,"tests/easy/ex1.test.js",0,0,"const helloWorld = require('../../exercises/easy/ex1-hello-world');\n\ndescribe('hello world function', () => {\n  test('should log ""Hello World!"" to the console', () => {\n    const consoleSpy = jest.spyOn(console, 'log');\n    helloWorld();\n    expect(consoleSpy).toHaveBeenCalledWith('Hello World!');\n    consoleSpy.mockRestore();\n  });\n});\n",javascript,tab
1068,2121871,"tests/easy/ex2.test.js",0,0,"const showAllTypes = require('../../exercises/easy/ex2-type-checker');\n\ndescribe('Show All Types function', () => {\n  test('should return an object with all the types', () => {\n    const result = showAllTypes();\n    \n    expect(result).toHaveProperty('object');\n    expect(result).toHaveProperty('array');\n    expect(result).toHaveProperty('string');\n    expect(result).toHaveProperty('number');\n    expect(result).toHaveProperty('boolean');\n    expect(result).toHaveProperty('null');\n    expect(result).toHaveProperty('undefined');\n    expect(result).toHaveProperty('nan');\n    \n    expect(result.object).toBe('object');\n    expect(result.array).toBe('object');\n    expect(result.string).toBe('string');\n    expect(result.number).toBe('number');\n    expect(result.boolean).toBe('boolean');\n    expect(result.null).toBe('object');\n    expect(result.undefined).toBe('undefined');\n    expect(result.nan).toBe('number');\n  });\n});\n",javascript,tab
1069,2125101,"lecture.js",0,0,"//lecture.js\nconst sum = 4 + 4;\nconst sum1 = 4 + 4;\n\nfunction add (num1, num2) {\nconst sum3 = sum1 + num2 \nreturn sum3 //hey ur gonna add variable 1 into variable 2 so we can store them in variable 3\n\n}\n\nconsole.log('sum', sum1);\nconsole.log('sum1', sum1);\n\n\nconst thisIsAString = 'this is some words.';\nconst thisIsTrueOrFalse = false;\nconst thisIsAnObject = {};\n//console.log('Remember to Concatonate if possible')\n\n//'this is some words.' // think its an object\n\n//'this is some words.'.toUpperCase; \n//the "" . "" DOT adds mthods to our Data Type such as the String above and can make it Uppercase and more!\n\n/* Const sentence = 'Heya what's Up?'\nconsole.log(sentence.toLowerCase());\nor\nconsole.log(""Heya what's Up?"")\n\n.trim() deletes excess spaces --> many methods are string based / for printing messages\n*/\n\n\n\n\n\n\nconst theSum = add (4,4);\nconsole.log('this is the sum:', theSum);\n\nconsole.log(typeof thisIsAnObject);\n\n\n\n\n\n\n\n",javascript,tab
1070,2128072,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should \n  return an object containing all these types */\n\n\n\n\n}\n\n\n\nmodule.exports = showAllTypes;\n\n\n\n\n\n",javascript,tab
1071,2134740,"exercises/easy/ex2-type-checker.js",254,0,"/",javascript,content
1072,2134813,"exercises/easy/ex2-type-checker.js",255,0,"/",javascript,content
1073,2135413,"exercises/easy/ex2-type-checker.js",255,1,"",javascript,content
1074,2136602,"exercises/easy/ex2-type-checker.js",255,0,"*",javascript,content
1075,2137668,"exercises/easy/ex2-type-checker.js",256,0,"\n",javascript,content
1076,2139358,"exercises/easy/ex2-type-checker.js",257,0,"{}",javascript,content
1077,2139647,"exercises/easy/ex2-type-checker.js",258,0,"\n",javascript,content
1078,2139761,"exercises/easy/ex2-type-checker.js",259,0,"\n",javascript,content
1079,2140554,"exercises/easy/ex2-type-checker.js",260,0,"}",javascript,content
1080,2141599,"exercises/easy/ex2-type-checker.js",256,0,"n",javascript,content
1081,2141628,"exercises/easy/ex2-type-checker.js",257,0," ",javascript,content
1082,2142266,"exercises/easy/ex2-type-checker.js",257,1,"",javascript,content
1083,2142550,"exercises/easy/ex2-type-checker.js",256,1,"",javascript,content
1084,2143065,"exercises/easy/ex2-type-checker.js",256,0," ",javascript,content
1085,2143494,"exercises/easy/ex2-type-checker.js",257,0,"O",javascript,content
1086,2143814,"exercises/easy/ex2-type-checker.js",258,0,"b",javascript,content
1087,2144098,"exercises/easy/ex2-type-checker.js",259,0,"j",javascript,content
1088,2144247,"exercises/easy/ex2-type-checker.js",260,0,"e",javascript,content
1089,2144828,"exercises/easy/ex2-type-checker.js",261,0,"c",javascript,content
1090,2145086,"exercises/easy/ex2-type-checker.js",262,0,"t",javascript,content
1091,2145182,"exercises/easy/ex2-type-checker.js",263,0," ",javascript,content
1092,2145400,"exercises/easy/ex2-type-checker.js",264,0,"i",javascript,content
1093,2145515,"exercises/easy/ex2-type-checker.js",265,0,"s",javascript,content
1094,2145630,"exercises/easy/ex2-type-checker.js",266,0," ",javascript,content
1095,2145819,"exercises/easy/ex2-type-checker.js",267,0,"a",javascript,content
1096,2145998,"exercises/easy/ex2-type-checker.js",268,0," ",javascript,content
1097,2147512,"exercises/easy/ex2-type-checker.js",269,0,"a",javascript,content
1098,2147680,"exercises/easy/ex2-type-checker.js",270,0," ",javascript,content
1099,2148697,"exercises/easy/ex2-type-checker.js",270,1,"",javascript,content
1100,2148877,"exercises/easy/ex2-type-checker.js",269,1,"",javascript,content
1101,2149029,"exercises/easy/ex2-type-checker.js",268,1,"",javascript,content
1102,2149534,"exercises/easy/ex2-type-checker.js",267,1,"",javascript,content
1103,2149559,"exercises/easy/ex2-type-checker.js",266,1,"",javascript,content
1104,2149595,"exercises/easy/ex2-type-checker.js",265,1,"",javascript,content
1105,2149629,"exercises/easy/ex2-type-checker.js",264,1,"",javascript,content
1106,2149662,"exercises/easy/ex2-type-checker.js",263,1,"",javascript,content
1107,2149695,"exercises/easy/ex2-type-checker.js",262,1,"",javascript,content
1108,2149725,"exercises/easy/ex2-type-checker.js",261,1,"",javascript,content
1109,2149758,"exercises/easy/ex2-type-checker.js",260,1,"",javascript,content
1110,2149798,"exercises/easy/ex2-type-checker.js",259,1,"",javascript,content
1111,2150068,"exercises/easy/ex2-type-checker.js",258,1,"",javascript,content
1112,2150262,"exercises/easy/ex2-type-checker.js",257,1,"",javascript,content
1113,2151034,"exercises/easy/ex2-type-checker.js",257,0,"t",javascript,content
1114,2151130,"exercises/easy/ex2-type-checker.js",258,0,"h",javascript,content
1115,2151252,"exercises/easy/ex2-type-checker.js",259,0,"e",javascript,content
1116,2151313,"exercises/easy/ex2-type-checker.js",260,0," ",javascript,content
1117,2151906,"exercises/easy/ex2-type-checker.js",261,0,"K",javascript,content
1118,2152052,"exercises/easy/ex2-type-checker.js",262,0,"e",javascript,content
1119,2152228,"exercises/easy/ex2-type-checker.js",263,0,"y",javascript,content
1120,2152432,"exercises/easy/ex2-type-checker.js",264,0," ",javascript,content
1121,2152620,"exercises/easy/ex2-type-checker.js",265,0,"i",javascript,content
1122,2152742,"exercises/easy/ex2-type-checker.js",266,0,"s",javascript,content
1123,2152832,"exercises/easy/ex2-type-checker.js",267,0," ",javascript,content
1124,2152976,"exercises/easy/ex2-type-checker.js",268,0,"t",javascript,content
1125,2153052,"exercises/easy/ex2-type-checker.js",269,0,"h",javascript,content
1126,2153154,"exercises/easy/ex2-type-checker.js",270,0,"e",javascript,content
1127,2153225,"exercises/easy/ex2-type-checker.js",271,0," ",javascript,content
1128,2153421,"exercises/easy/ex2-type-checker.js",272,0,"n",javascript,content
1129,2153514,"exercises/easy/ex2-type-checker.js",273,0,"a",javascript,content
1130,2153624,"exercises/easy/ex2-type-checker.js",274,0,"m",javascript,content
1131,2153728,"exercises/easy/ex2-type-checker.js",275,0,"e",javascript,content
1132,2153820,"exercises/easy/ex2-type-checker.js",276,0," ",javascript,content
1133,2153976,"exercises/easy/ex2-type-checker.js",277,0,"o",javascript,content
1134,2154069,"exercises/easy/ex2-type-checker.js",278,0,"f",javascript,content
1135,2154163,"exercises/easy/ex2-type-checker.js",279,0," ",javascript,content
1136,2154275,"exercises/easy/ex2-type-checker.js",280,0,"t",javascript,content
1137,2154363,"exercises/easy/ex2-type-checker.js",281,0,"h",javascript,content
1138,2154458,"exercises/easy/ex2-type-checker.js",282,0,"e",javascript,content
1139,2154551,"exercises/easy/ex2-type-checker.js",283,0," ",javascript,content
1140,2154773,"exercises/easy/ex2-type-checker.js",284,0,"d",javascript,content
1141,2154977,"exercises/easy/ex2-type-checker.js",285,0,"a",javascript,content
1142,2155233,"exercises/easy/ex2-type-checker.js",286,0,"t",javascript,content
1143,2155437,"exercises/easy/ex2-type-checker.js",287,0,"a",javascript,content
1144,2155564,"exercises/easy/ex2-type-checker.js",288,0," ",javascript,content
1145,2155701,"exercises/easy/ex2-type-checker.js",289,0,"t",javascript,content
1146,2155896,"exercises/easy/ex2-type-checker.js",290,0,"y",javascript,content
1147,2156053,"exercises/easy/ex2-type-checker.js",291,0,"p",javascript,content
1148,2156174,"exercises/easy/ex2-type-checker.js",292,0,"e",javascript,content
1149,2159972,"exercises/easy/ex2-type-checker.js",293,0,",",javascript,content
1150,2160235,"exercises/easy/ex2-type-checker.js",294,0," ",javascript,content
1151,2160380,"exercises/easy/ex2-type-checker.js",295,0,"a",javascript,content
1152,2160499,"exercises/easy/ex2-type-checker.js",296,0,"n",javascript,content
1153,2161045,"exercises/easy/ex2-type-checker.js",297,0,"d",javascript,content
1154,2161195,"exercises/easy/ex2-type-checker.js",298,0," ",javascript,content
1155,2161839,"exercises/easy/ex2-type-checker.js",299,0,"v",javascript,content
1156,2162136,"exercises/easy/ex2-type-checker.js",300,0,"a",javascript,content
1157,2162217,"exercises/easy/ex2-type-checker.js",301,0,"l",javascript,content
1158,2162467,"exercises/easy/ex2-type-checker.js",302,0,"u",javascript,content
1159,2162597,"exercises/easy/ex2-type-checker.js",303,0,"e",javascript,content
1160,2164045,"exercises/easy/ex2-type-checker.js",309,1,"",javascript,content
1161,2169613,"exercises/easy/ex2-type-checker.js",310,0,"\n",javascript,content
1162,2169824,"exercises/easy/ex2-type-checker.js",311,0,"\n",javascript,content
1163,2170017,"exercises/easy/ex2-type-checker.js",312,0,"\n",javascript,content
1164,2170194,"exercises/easy/ex2-type-checker.js",313,0,"\n",javascript,content
1165,2173086,"exercises/easy/ex2-type-checker.js",310,0,"*",javascript,content
1166,2173580,"exercises/easy/ex2-type-checker.js",311,0,"/",javascript,content
1167,2216751,"exercises/easy/ex2-type-checker.js",304,0," ",javascript,content
1168,2216929,"exercises/easy/ex2-type-checker.js",305,0,"i",javascript,content
1169,2217038,"exercises/easy/ex2-type-checker.js",306,0,"s",javascript,content
1170,2217157,"exercises/easy/ex2-type-checker.js",307,0," ",javascript,content
1171,2217317,"exercises/easy/ex2-type-checker.js",308,0,"t",javascript,content
1172,2217405,"exercises/easy/ex2-type-checker.js",309,0,"h",javascript,content
1173,2217543,"exercises/easy/ex2-type-checker.js",310,0,"e",javascript,content
1174,2217617,"exercises/easy/ex2-type-checker.js",311,0," ",javascript,content
1175,2217885,"exercises/easy/ex2-type-checker.js",312,0,"t",javascript,content
1176,2218091,"exercises/easy/ex2-type-checker.js",313,0,"y",javascript,content
1177,2218189,"exercises/easy/ex2-type-checker.js",314,0,"p",javascript,content
1178,2218338,"exercises/easy/ex2-type-checker.js",315,0,"e",javascript,content
1179,2218448,"exercises/easy/ex2-type-checker.js",316,0," ",javascript,content
1180,2218626,"exercises/easy/ex2-type-checker.js",317,0,"o",javascript,content
1181,2218991,"exercises/easy/ex2-type-checker.js",318,0,"f",javascript,content
1182,2219107,"exercises/easy/ex2-type-checker.js",319,0," ",javascript,content
1183,2219487,"exercises/easy/ex2-type-checker.js",320,0,"d",javascript,content
1184,2219734,"exercises/easy/ex2-type-checker.js",321,0,"a",javascript,content
1185,2219971,"exercises/easy/ex2-type-checker.js",322,0,"t",javascript,content
1186,2220224,"exercises/easy/ex2-type-checker.js",323,0,"a",javascript,content
1187,2220359,"exercises/easy/ex2-type-checker.js",324,0," ",javascript,content
1188,2220693,"exercises/easy/ex2-type-checker.js",325,0,"t",javascript,content
1189,2220956,"exercises/easy/ex2-type-checker.js",326,0,"y",javascript,content
1190,2221143,"exercises/easy/ex2-type-checker.js",327,0,"p",javascript,content
1191,2221271,"exercises/easy/ex2-type-checker.js",328,0,"e",javascript,content
1192,2230773,"lecture.js",0,0,"//lecture.js\nconst sum = 4 + 4;\nconst sum1 = 4 + 4;\n\nfunction add (num1, num2) {\nconst sum3 = sum1 + num2 \nreturn sum3 //hey ur gonna add variable 1 into variable 2 so we can store them in variable 3\n\n}\n\nconsole.log('sum', sum1);\nconsole.log('sum1', sum1);\n\n\nconst thisIsAString = 'this is some words.';\nconst thisIsTrueOrFalse = false;\nconst thisIsAnObject = {};\n//console.log('Remember to Concatonate if possible')\n\n//'this is some words.' // think its an object\n\n//'this is some words.'.toUpperCase; \n//the "" . "" DOT adds mthods to our Data Type such as the String above and can make it Uppercase and more!\n\n/* Const sentence = 'Heya what's Up?'\nconsole.log(sentence.toLowerCase());\nor\nconsole.log(""Heya what's Up?"")\n\n.trim() deletes excess spaces --> many methods are string based / for printing messages\n*/\n\n\n\n\n\n\nconst theSum = add (4,4);\nconsole.log('this is the sum:', theSum);\n\nconsole.log(typeof thisIsAnObject);\n\n\n\n\n\n\n\n",javascript,tab
